name,rho_oos,rho_is,abs_rho_oos
rank_sum_4,0.2825477394606467,0.24604795621564426,0.2825477394606467
bb_extreme,0.27147828576870575,0.2183408947673175,0.27147828576870575
0.5*stoch+0.5*zscore20,0.26529778220513567,0.22989315434452362,0.26529778220513567
0.5*williams+0.5*zscore20,0.26529778220513567,0.22989315434452362,0.26529778220513567
combo3_sto_rsi_zsc_0.6,0.26471440258799,0.2368565093879141,0.26471440258799
combo3_wil_rsi_zsc_0.6,0.26471440258799,0.2368565093879141,0.26471440258799
combo3_wil_rsi_zsc_0.5,0.2644152793473101,0.2328286054770141,0.2644152793473101
combo3_sto_rsi_zsc_0.5,0.2644152793473101,0.2328286054770141,0.2644152793473101
combo3_wil_bb_zsc_0.4,0.26342140027185745,0.2268634347925079,0.26342140027185745
combo3_sto_bb_zsc_0.4,0.26342140027185745,0.2268634347925079,0.26342140027185745
0.3*stoch+0.7*zscore20,0.26295207450140284,0.2296006897654338,0.26295207450140284
0.3*williams+0.7*zscore20,0.26295207450140284,0.2296006897654338,0.26295207450140284
composite_4,0.2625950984311581,0.22828515579833875,0.2625950984311581
0.7*stoch+0.3*sma7,0.26047372328738977,0.19414142238872983,0.26047372328738977
0.7*williams+0.3*sma7,0.26047372328738977,0.19414142238872983,0.26047372328738977
stoch_extreme,0.25948037019902737,0.22997502267520262,0.25948037019902737
williams_extreme,0.25948037019902737,0.22997502267520262,0.25948037019902737
sma20*atr_inv,0.25926846755507665,0.23432170722427084,0.25926846755507665
sma20/atr,0.25926846755507665,0.23432170722427084,0.25926846755507665
0.7*stoch+0.3*rsi,0.2592282207339043,0.23170792783662797,0.2592282207339043
0.7*williams+0.3*rsi,0.2592282207339043,0.23170792783662797,0.2592282207339043
prod_st_wi_rs,0.2588905330454937,0.2283384620357545,0.2588905330454937
combo3_sto_wil_rsi_0.5,0.258340047292021,0.2304702250724546,0.258340047292021
combo3_sto_wil_rsi_0.4,0.258340047292021,0.2304702250724546,0.258340047292021
combo3_sto_wil_rsi_0.6,0.258340047292021,0.2304702250724546,0.258340047292021
combo3_sto_rsi_zsc_0.4,0.25812212660398093,0.22935842090955763,0.25812212660398093
combo3_wil_rsi_zsc_0.4,0.25812212660398093,0.22935842090955763,0.25812212660398093
combo3_sto_bb_zsc_0.5,0.2578265220910712,0.22747056401614021,0.2578265220910712
combo3_wil_bb_zsc_0.5,0.2578265220910712,0.22747056401614021,0.2578265220910712
sma7/atr,0.25781513135025624,0.21514409227567355,0.25781513135025624
sma7*atr_inv,0.25781513135025624,0.21514409227567355,0.25781513135025624
composite_stoch_0.35,0.2576723340388263,0.2278941334065462,0.2576723340388263
rank_prod_2,0.25718966970381674,0.2324294627072979,0.25718966970381674
0.7*rsi+0.3*sma7,0.25710348669852906,0.21502032199925622,0.25710348669852906
0.3*williams+0.7*bb,0.25662339721488175,0.22446392860298006,0.25662339721488175
0.3*stoch+0.7*bb,0.25662339721488175,0.22446392860298006,0.25662339721488175
composite_stoch_0.4,0.25529550005640556,0.23060604494192,0.25529550005640556
composite_stoch_0.3,0.25500277646948527,0.22724142528747132,0.25500277646948527
combo3_sto_bb_rsi_0.4,0.25396515633432415,0.23032929722332757,0.25396515633432415
combo3_wil_bb_rsi_0.4,0.25396515633432415,0.23032929722332757,0.25396515633432415
0.7*zscore20+0.3*sma7,0.25361709463571847,0.19767421245050112,0.25361709463571847
poly_quad,0.25355909492590134,0.22839288177966494,0.25355909492590134
0.7*stoch+0.3*williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
0.3*stoch+0.7*williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
stoch*williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
sign_williams*williams^2,0.25288331313214635,0.22564847850847697,0.25288331313214635
sqrt_stoch,0.25288331313214635,0.22564847850847697,0.25288331313214635
sign_stoch*stoch^2,0.25288331313214635,0.22564847850847697,0.25288331313214635
williams^2,0.25288331313214635,0.22564847850847697,0.25288331313214635
stoch/williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
sqrt_williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
stoch^2,0.25288331313214635,0.22564847850847697,0.25288331313214635
0.5*stoch+0.5*williams,0.25288331313214635,0.22564847850847697,0.25288331313214635
prod_st_bb_rs,0.25279706496601806,0.22983007937716404,0.25279706496601806
prod_wi_bb_rs,0.25279706496601806,0.22983007937716404,0.25279706496601806
composite_stoch_0.5,0.25276352621444903,0.2302363057987177,0.25276352621444903
combo3_sto_bb_zsc_0.6,0.2522733958668301,0.23171228271672414,0.2522733958668301
combo3_wil_bb_zsc_0.6,0.2522733958668301,0.23171228271672414,0.2522733958668301
composite_stoch_0.45,0.252089796214381,0.23177767140508534,0.252089796214381
williams_div_vix_inv,0.2516261689793523,0.2087003319716876,0.2516261689793523
stoch_div_vix_inv,0.2516261689793523,0.2087003319716876,0.2516261689793523
0.5*stoch+0.5*bb,0.2510457097275978,0.22750631987377187,0.2510457097275978
0.5*williams+0.5*bb,0.2510457097275978,0.22750631987377187,0.2510457097275978
rsi_williams_sum,0.2507818357250782,0.2224458509716495,0.2507818357250782
0.5*stoch+0.5*rsi,0.2507818357250782,0.2224458509716495,0.2507818357250782
0.5*williams+0.5*rsi,0.2507818357250782,0.2224458509716495,0.2507818357250782
combo3_wil_bb_rsi_0.5,0.250776162536252,0.2301978977208771,0.250776162536252
combo3_sto_bb_rsi_0.5,0.250776162536252,0.2301978977208771,0.250776162536252
combo3_sto_wil_bb_0.5,0.25073369847261473,0.23107764898722127,0.25073369847261473
