,LABEL_GENERAL_SCORE,BQI_ABS,FF_ATM,delta_total,theta_total,FF_BAT
PnL_fwd_pts_01_mediana,0.7392907130228377,0.12585895366614427,3.898558304340531e-06,0.8411333927381752,0.028642639351364813,0.042457154132482404
PnL_fwd_pts_05_mediana,0.2721242021318073,0.07815433752917637,0.002602888063650332,0.49877915022381075,0.07157456898578918,0.020130953343843325
PnL_fwd_pts_25_mediana,0.45537367658168293,0.09378044224639381,0.00010135804929781223,0.6758736488083052,0.06693890967915693,0.14751130156693837
PnL_fwd_pts_50_mediana,0.0009527434010658315,0.002292166415437806,2.8720427602782982e-08,2.5965240909306457e-05,0.1494941407402223,0.020618732107957158
PnL_fwd_pts_90_mediana,6.212274133134999e-08,0.005370778221459304,1.3880637929472753e-06,0.4768567716712612,4.6128918353792705e-10,0.2724682334021676
