,PnL_fwd_pts_01_mediana,PnL_fwd_pts_05_mediana,PnL_fwd_pts_25_mediana,PnL_fwd_pts_50_mediana,PnL_fwd_pts_90_mediana
LABEL_GENERAL_SCORE,0.0070766052959549824,0.023349220155947138,0.01587270821823677,0.0701740956782817,0.11471604756069115
BQI_ABS,0.0325397279703456,-0.03744433154290372,0.03562351660116993,0.06477834710838587,0.05914682816941819
FF_ATM,0.09793643419031495,0.06396451447196917,0.08252111142367123,0.11758885355227269,0.10236818402112527
delta_total,-0.0042623341548398905,0.01438286197934038,0.008890549692074173,0.08926530500227865,0.015126047598347538
theta_total,0.04650956261431189,-0.03830074888791007,0.03894369233786183,0.030641859649506522,0.1319355489613046
FF_BAT,0.043125968611517906,0.0493865307517637,0.030791831530531118,0.04919541106754641,0.023332477269127724
