feature,spearman,abs_spearman
geom44(SPX_absdiff_SPX_Willia_quintile_abs_cbrt,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_abs_exp_clip,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_rank,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_abs,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_log1p,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_sqrt,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_sq,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_cube,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_inv,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_neg,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_exp_neg,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_tanh,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_sigmoid,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_zscore,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_zrob,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_win5,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_win1,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_pos,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_log_sign,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_cbrt,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_log1p_exp_clip,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_rank,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_abs,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_log1p,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_sqrt,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_sq,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_cube,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_inv,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_neg,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_exp_neg,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_tanh,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_sigmoid,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_zscore,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_zrob,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_win5,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_win1,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_pos,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_log_sign,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_cbrt,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sqrt_exp_clip,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_rank,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_abs,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_log1p,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_sqrt,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_sq,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_cube,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_inv,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_neg,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_exp_neg,0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_tanh,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_sigmoid,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_zscore,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_zrob,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_win5,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_win1,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_pos,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_log_sign,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_cbrt,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_sq_exp_clip,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_cube_rank,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_cube_abs,-0.3332704262383082,0.3332704262383082
geom44(SPX_absdiff_SPX_Willia_quintile_cube_log1p,-0.3332704262383082,0.3332704262383082
