,LABEL_GENERAL_SCORE,BQI_ABS,FF_ATM,delta_total,theta_total,FF_BAT
PnL_fwd_pts_01_mediana,0.018989320873486384,0.061924880518077825,0.08149585692588271,-0.025075999967499374,0.06118535369965994,0.04139573899311617
PnL_fwd_pts_05_mediana,0.022451631155472298,0.019164820331659768,0.08950127617796877,-0.04094689668239088,0.03664378940183779,0.04657910109405628
PnL_fwd_pts_25_mediana,0.027718418275525458,0.0965001610639712,0.0861652784051905,-0.01461357266837115,0.07658563632309849,0.0458493708557447
PnL_fwd_pts_50_mediana,0.07667164411348527,0.12014382333263122,0.11150685702094155,0.060487123603770315,0.05827042432888913,0.13829476762466747
PnL_fwd_pts_90_mediana,0.10858991148203337,0.21386052258757832,0.07616766522292763,-0.012232478695352137,0.1417592049149781,0.09056574878810687
