,LABEL_GENERAL_SCORE,BQI_ABS,FF_ATM,delta_total,theta_total,FF_BAT
PnL_fwd_pts_01_mediana,0.007076605295954931,0.03253972797034564,0.09793643419031517,-0.004262334154839928,0.046509562614311974,0.04312596861151803
PnL_fwd_pts_05_mediana,0.023349220155947124,-0.037444331542903685,0.06396451447196919,0.014382861979340427,-0.038300748887910116,0.049386530751763726
PnL_fwd_pts_25_mediana,0.015872708218236897,0.03562351660117004,0.08252111142367125,0.008890549692073741,0.03894369233786227,0.030791831530531024
PnL_fwd_pts_50_mediana,0.07017409567828171,0.06477834710838598,0.11758885355227275,0.08926530500227858,0.030641859649506418,0.049195411067546414
PnL_fwd_pts_90_mediana,0.11471604756069112,0.0591468281694183,0.10236818402112512,0.015126047598347412,0.1319355489613046,0.023332477269127638
