,LABEL_GENERAL_SCORE,BQI_ABS,FF_ATM,delta_total,theta_total,FF_BAT
PnL_fwd_pts_01_mediana,0.37181245488229175,0.0035578704852038245,0.00012360748371462553,0.23822930824480174,0.003976285262451337,0.051470607157348344
PnL_fwd_pts_05_mediana,0.29098798770901546,0.3674081564732097,2.471291022461214e-05,0.05405435089851023,0.0847419076468009,0.02840509298080049
PnL_fwd_pts_25_mediana,0.19231776228403527,5.398028300102638e-06,4.9154561058738284e-05,0.491916903780808,0.0003099254991199639,0.030984322673933407
PnL_fwd_pts_50_mediana,0.0003051104807451358,1.423775843359344e-08,1.4389999929839423e-07,0.004411809434328824,0.00609567875536152,6.362890876907406e-11
PnL_fwd_pts_90_mediana,3.0268959434947063e-07,2.562182136752663e-24,0.0003343540937299803,0.5651064978529653,2.0797159461476687e-11,1.9743601108109422e-05
