rank,feature,spearman_IS,abs_spearman_IS,p_value,n_valid
1,"prod3(harm(ndi,ndiff(ra,geom(ndi)",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
2,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
3,"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
4,"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
5,"prod3(harm(ndi,ndiff(ra,geom(ndi)_sqrt",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
6,"prod3(harm(ndi,ndiff(ra,geom(ndi)_sq",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
7,"prod3(harm(ndi,ndiff(ra,geom(ndi)_cube",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
8,"prod3(harm(ndi,ndiff(ra,geom(ndi)_tanh",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
9,prod3(harm(n/geom(harm(nd,-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
10,prod3(harm(n-prod3(harm(n,0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
11,prod3(harm(n*geom(ndiff(r,-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
12,"geom(prod3(harm,geom(ndiff)",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
13,"prod3(prod3(ha,harm(ndi,geom(ndi)",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
14,"rat3(prod3(ha,harm(ndi,harm(ndi)",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
15,"prod3(prod3(ha,prod3(ha,geom(ndi)",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
16,"rat3(prod3(ha,prod3(ha,geom(ndi)",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
17,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_rank",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
18,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_abs",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
19,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_log1p",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
20,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_sqrt",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
21,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_sq",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
22,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_cube",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
23,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_inv",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
24,"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_tanh",0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
25,"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_rank",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
26,"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_abs",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
27,"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_log1p",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
28,"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_sqrt",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
29,"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_sq",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
30,"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_cube",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
31,"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_tanh",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
32,"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p_rank",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
33,"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p_abs",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
34,"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p_log1p",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
35,"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p_sqrt",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
36,"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p_sq",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
37,"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p_cube",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
38,"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p_tanh",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
39,"prod3(harm(ndi,ndiff(ra,geom(ndi)_sqrt_rank",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
40,"prod3(harm(ndi,ndiff(ra,geom(ndi)_sqrt_abs",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
41,"prod3(harm(ndi,ndiff(ra,geom(ndi)_sqrt_log1p",-0.38103233072746434,0.38103233072746434,4.5678257192005786e-21,568
