rank_sum_4,bb_extreme,0.5*stoch+0.5*zscore20,0.5*williams+0.5*zscore20,combo3_sto_rsi_zsc_0.6,combo3_wil_rsi_zsc_0.6,combo3_wil_rsi_zsc_0.5,combo3_sto_rsi_zsc_0.5,combo3_wil_bb_zsc_0.4,combo3_sto_bb_zsc_0.4,PnL_fwd_pts_05_mediana
0.8182218309859156,0.9049528577716046,0.9622984292551267,0.9622984292551267,0.9142206896294744,0.9142206896294744,0.8788713485931863,0.8788713485931863,0.9469005148106925,0.9469005148106925,-1.725
0.8820422535211268,0.9250008007876735,0.9677047355136763,0.9677047355136763,0.9283675834680385,0.9283675834680385,0.8990104280993225,0.8990104280993225,0.95708221452054,0.95708221452054,1.7
0.3230633802816901,0.5,0.3476663601984987,0.3476663601984987,0.41433392413893333,0.41433392413893333,0.4391205449752221,0.4391205449752221,0.4473708412912407,0.4473708412912407,0.725
0.14568661971830985,0.1455289320371922,-0.37348263513864743,-0.37348263513864743,-0.0061484057278264614,-0.006148405727826517,0.02281648267510461,0.022816482675104638,-0.06274319073332532,-0.0627431907333253,-1.975
0.09991197183098591,0.0123758954426027,-0.39604940150285667,-0.3960494015028566,-0.027546789479712702,-0.027546789479712702,-0.012588058472595726,-0.012588058472595726,-0.1198175660550362,-0.11981756605503621,-3.125
0.1487676056338028,0.5,-0.20211743023939538,-0.2021174302393954,0.13321653362222616,0.1332165336222261,0.13351493324144456,0.13351493324144456,0.09068408070699752,0.09068408070699752,-2.225
0.09903169014084506,0.1442419713484399,-0.40212151435488197,-0.40212151435488197,-0.06478641751146857,-0.06478641751146863,-0.042551343296723804,-0.04255134329672375,-0.08595447060224529,-0.08595447060224526,1.7
0.09903169014084506,0.1442419713484399,-0.40212151435488197,-0.40212151435488197,-0.06478641751146857,-0.06478641751146863,-0.042551343296723804,-0.04255134329672375,-0.08595447060224529,-0.08595447060224526,0.25
0.09903169014084506,0.1442419713484399,-0.40212151435488197,-0.40212151435488197,-0.06478641751146857,-0.06478641751146863,-0.042551343296723804,-0.04255134329672375,-0.08595447060224529,-0.08595447060224526,1.15
0.12632042253521128,0.1972746382237928,-0.3201789181433036,-0.3201789181433037,0.016521599982942614,0.01652159998294256,0.029840627493348926,0.029840627493348953,-0.00984334122798719,-0.009843341227987162,-0.35
