name,spearman_IS,spearman_OOS_mean,spearman_OOS_std,spearman_OOS_min,n_folds
"prod3(harm(ndi,ndiff(ra,geom(ndi)",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_cube",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_tanh",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
prod3(harm(n-prod3(harm(n,0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(prod3(ha,prod3(ha,geom(ndi)",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"rat3(prod3(ha,prod3(ha,geom(ndi)",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_rank",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_abs",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_log1p",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_sqrt",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_sq",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_cube",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_tanh",0.38103233072746434,0.354526324744426,0.138160256196055,0.22842838291890433,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_log1p",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_sqrt",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_sq",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
prod3(harm(n/geom(harm(nd,-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
prod3(harm(n*geom(ndiff(r,-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"geom(prod3(harm,geom(ndiff)",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(prod3(ha,harm(ndi,geom(ndi)",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"rat3(prod3(ha,harm(ndi,harm(ndi)",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_rank_inv",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_rank",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_abs",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_log1p",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_sqrt",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_sq",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
"prod3(harm(ndi,ndiff(ra,geom(ndi)_abs_cube",-0.38103233072746434,-0.354526324744426,0.138160256196055,-0.5316161332034708,5
