,PnL_fwd_pts_01_mediana,PnL_fwd_pts_05_mediana,PnL_fwd_pts_25_mediana,PnL_fwd_pts_50_mediana,PnL_fwd_pts_90_mediana
LABEL_GENERAL_SCORE,0.018989320873486388,0.022451631155472294,0.02771841827552546,0.07667164411348529,0.10858991148203338
BQI_ABS,0.06192488051807784,0.019164820331659765,0.09650016106397123,0.12014382333263122,0.21386052258757834
FF_ATM,0.08149585692588271,0.08950127617796877,0.0861652784051905,0.11150685702094155,0.07616766522292764
delta_total,-0.025075999967499377,-0.04094689668239088,-0.01461357266837115,0.06048712360377032,-0.012232478695352138
theta_total,0.06118535369965994,0.03664378940183778,0.0765856363230985,0.05827042432888914,0.14175920491497812
FF_BAT,0.041395738993116174,0.04657910109405629,0.045849370855744705,0.13829476762466744,0.09056574878810689
